Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
,1.0,35.0,Suburban,51.0,None,False,Gas,True,True,2022-05-15,Green,Martin,False,Good,Excellent,Good,Good,3.0,1.65,,Wood A1TV,80.52464
1.0,2.0,74.0,Suburbann,,None,,Gas,True,True,2021-01-25,Yellow,,False,Poor,Poor,Poor,Poor,3.0,3.79,,5Z1WD Aluminum GTUXT,55.70015
5.0,4.0,144.0,Rural,65.0,Poor,,Electricity,False,True,2024-03-11,Green,Florian,False,Excellent,Good,Good,Good,11.0,2.82,85.8,Aluminum GMM Window,307.34585
2.0,1.0,64.0,,49.0,None,False,Gas,False,True,2021-11-05,Yellow,Natalie,False,Good,Excellent,Excellent,Good,3.0,3.82,,ZGSXQT5 Aluminum AT8,156.44733
,,91.0,Rural,49.0,None,True,Oil Heating,False,True,2021-08-09,Green,,False,Excellent,Excellent,Poor,Poor,3.0,3.27,144.0,UVZ Steel 15GVC Window,360.13699
2.0,1.0,79.0,,47.0,None,,Gas,True,True,2023-09-06,White,Stefan,False,Good,Poor,Good,Good,3.0,1.82,,YRR3 Aluminum F4JFZJP,182.34685
1.0,1.0,38.0,Urban,46.0,None,False,Gas,False,False,2021-10-09,Green,Natalie,False,Excellent,Good,Excellent,Good,3.0,1.96,37.0,Aluminum THY3 Window,65.40168
1.0,1.0,45.0,Urban,19.0,None,False,Electric,False,True,2021-10-14,Yellow,Laura,False,Poor,Poor,Good,Poor,3.0,2.23,27.6,WRB Wood O2IRBS,108.73163
1.0,1.0,59.0,Urban,21.0,None,False,Electric,False,True,2020-11-18,Green,Sandra,False,Poor,Good,Excellent,Good,3.0,2.92,35.4,Wood E2U,133.25797
2.0,,83.0,,48.0,None,False,Gas,True,True,2023-10-19,Green,Daniel,False,Poor,Good,Good,Good,3.0,2.66,,69B0P81 Steel 1PTXGNL Window,339.46712
,1.0,119.0,Rural,12.0,None,,Electric,False,True,2023-01-21,,,False,Poor,Poor,Good,Good,3.0,2.55,72.0,KTGTF Steel B6TV,344.39795
,1.0,48.0,Rural,,Good,False,Oil Heating,True,True,2021-08-31,Green,,False,Good,Good,Excellent,Good,15.0,2.47,,P02 Aluminum 5IO,190.9445
1.0,1.0,20.0,Rural,,None,False,Oil,True,True,2022-12-14,Green,Stefan,False,Excellent,Poor,Poor,Poor,3.0,2.25,,Wood URLMN26,139.44647
2.0,1.0,82.0,Rural,37.0,None,False,Oil,False,False,2022-06-17,Yellow,Martin,False,Excellent,Poor,Poor,Good,3.0,4.78,,1GYE32 Aluminum B3Z3X1 Window,174.71272
,1.0,111.0,Suburban,20.0,Excellent,False,Electric,False,True,2021-04-02,Gray,Lukas,False,Good,Good,Good,Excellent,47.0,1.48,,Steel 24NKZEM,208.43813
1.0,1.0,57.0,,,Poor,False,Oil,False,False,2022-06-16,Green,Florian,False,Good,Excellent,Good,Excellent,11.0,2.98,89.6,ME1N1 Aluminum TG5 Window,154.56996
,1.0,83.0,Suburban,55.0,None,False,Oil Heating,False,True,2022-08-25,White,Andreas,False,Good,Excellent,Good,Poor,3.0,1.86,,EBV15 Steel MS4H Window,153.73412
,1.0,96.0,Urban,47.0,None,False,Gas,False,True,2021-05-12,Gray,Martin,False,Good,Excellent,Poor,Good,3.0,1.15,,Steel 5FWH8G7 Window,236.40401
1.0,4.0,129.0,Rural,63.0,None,,Gas,False,True,2020-07-28,White,Sabrina,False,Excellent,Excellent,Poor,Good,3.0,3.8,,Steel 2FL Window,392.48615
2.0,1.0,70.0,Rural,39.0,None,False,Electric,False,True,2020-02-23,Yellow,,False,Excellent,Excellent,Poor,Good,3.0,2.66,42.0,PIFWPB Steel BOL Window,272.3602
1.0,3.0,103.0,Rural,35.0,None,,Oil,False,True,2022-08-03,,Daniel,False,Good,Excellent,Good,Good,3.0,2.25,,Steel JMYULK,421.22963
,,148.0,,63.0,None,True,Oil,False,True,2020-05-26,White,Lukas,False,Good,Excellent,Poor,Good,3.0,2.65,238.4,92TR Steel TJRPI,351.26306
1.0,2.0,6498.0,Urban,33.0,Good,False,Electricity,False,False,2022-03-31,Green,,False,Good,Good,Good,Good,15.0,2.06,41.4,24FCIGV Steel VQHH Window,195.41107
2.0,2.0,58.0,Urban,7.0,None,False,Oil,True,True,2022-03-12,Yellow,,False,Excellent,Good,Excellent,Good,3.0,4.03,96.0,GCBXB Wood 6P9U Window,208.96915
,,128.0,,,Poor,False,Gas,False,True,2022-10-16,Green,Stefan,False,Good,Good,Good,Poor,11.0,3.16,128.0,Aluminum L6BV,173.83355
1.0,2.0,66.0,,49.0,Good,,Electric,False,False,2023-10-09,Yellow,,False,Poor,Poor,Poor,Good,15.0,4.26,,IWZA01H Steel 1YF,181.24776
1.0,,94.0,Rural,,Good,False,Oil,False,True,2020-05-16,Gray,Daniel,False,Poor,Excellent,Excellent,Good,15.0,1.6,148.8,Wood OVU4,337.18123
1.0,1.0,100.0,Suburban,16.0,None,True,Oil Heating,False,False,2021-05-14,Green,Roman,False,Good,Excellent,Poor,Good,3.0,2.54,,ZZ9LO2L Aluminum VJEH0N0 Window,88.01877
,,129.0,,62.0,None,True,Oil Heating,False,True,2022-12-03,Gray,Johanna,False,Poor,Good,Excellent,Good,3.0,2.29,,OXN Wood 38REDM0 Window,170.51287
1.0,2.0,115.0,Urban,48.0,None,,Oil,False,True,2023-11-15,Yellow,Sandra,False,Good,Excellent,Excellent,Poor,3.0,3.23,,Wood 3YLVE3,268.13371
1.0,,51.0,Suburbann,54.0,Excellent,True,Electricity,True,True,2023-06-26,Yellow,Sandra,False,Good,Poor,Good,Good,47.0,4.76,,Wood U0T6Z,148.51734
,4.0,140.0,Urban,,Poor,,Gas,True,False,2022-08-31,Gray,Daniel,False,Good,Excellent,Good,Excellent,11.0,2.68,139.0,Steel K4MJUO Window,291.53876
1.0,,36.0,Rural,32.0,None,,Gas,False,True,2021-05-09,Yellow,Johanna,False,Good,Good,Good,Excellent,3.0,3.87,,88K Aluminum TP6BJN Window,105.30197
,2.0,77.0,Urban,54.0,Excellent,True,Gas,False,True,2022-02-15,,Andreas,False,Good,Good,Poor,Excellent,47.0,3.54,,Steel SOKER Window,331.45722
1.0,1.0,42.0,,69.0,None,False,Electric,True,False,2022-10-16,Green,Florian,False,Good,Excellent,Good,Good,3.0,2.65,24.6,R4NR68 Steel 19LG75,89.5486
2.0,1.0,113.0,,29.0,Good,False,Electric,False,True,2024-02-11,Gray,Daniel,False,Good,Good,Good,Poor,15.0,1.1,,Aluminum QYS5T,173.80835
2.0,2.0,72.0,Suburbann,58.0,None,False,Oil,True,True,2022-06-03,Yellow,Maria,False,Good,Excellent,Poor,Good,3.0,4.06,113.6,Wood 5174X6,120.32671
,1.0,118.0,,49.0,None,False,Oil Heating,True,False,2023-12-03,,Maria,False,Good,Poor,Good,Poor,3.0,2.05,,632O Steel WMA5YYG Window,159.46381
1.0,1.0,28.0,,53.0,,False,Electricity,True,True,2022-04-20,Gray,Daniel,False,Excellent,Poor,Excellent,Excellent,15.0,1.09,,SU45 Steel TU2 Window,125.97046
,1.0,128.0,Urban,,Good,False,Oil Heating,False,False,2020-12-12,Gray,Lukas,False,Good,Excellent,Good,Excellent,15.0,1.18,,Aluminum 6JD2GF Window,203.01392
,1.0,106.0,Rural,60.0,None,True,Gas,False,False,2021-07-01,Yellow,Andreas,False,Good,Good,Good,Poor,3.0,3.04,106.0,Steel 9AVOIIH Window,275.4564
,1.0,108.0,Rural,40.0,None,False,Electric,False,False,2022-08-20,White,,False,Good,Good,Excellent,Good,3.0,1.39,64.8,Steel W2AFI7,287.49601
4.0,2.0,132.0,Suburban,32.0,Poor,True,Oil,False,True,2024-01-21,Yellow,,False,Excellent,Good,Excellent,Good,11.0,4.29,209.6,R2XO8 Steel 9KJYGB3,236.85261
1.0,1.0,21.0,Suburbann,27.0,Excellent,False,Oil,False,True,2023-12-05,,Florian,False,Good,Good,Excellent,Excellent,47.0,3.28,,Aluminum IO3V,115.90357
,2.0,81.0,Rural,32.0,None,True,Electricity,False,True,2023-03-02,,Denis,False,Good,Excellent,Excellent,Good,3.0,1.87,47.4,B6ZCF4N Steel 1CDC,316.28803
,1.0,85.0,Urban,-1.0,None,False,Oil,True,True,2024-02-24,,Martin,False,Poor,Good,Excellent,Good,3.0,2.05,,V2PCAD Wood 6SB94W,235.74646
,2.0,102.0,Rural,60.0,None,True,Oil,False,True,2023-08-26,Gray,Natalie,False,Poor,Excellent,Good,Good,3.0,1.21,160.0,Wood 9X42RM,328.9745
2.0,2.0,125.0,Suburbann,38.0,None,,Electric,False,True,2022-04-08,Yellow,Laura,False,Excellent,Excellent,Poor,Poor,3.0,2.71,,WRL3D Aluminum OAC0N9X,90.70025
1.0,2.0,113.0,Urban,69.0,Good,False,Oil Heating,False,True,2020-03-29,,Laura,False,Excellent,Excellent,Excellent,Good,15.0,1.84,179.2,Aluminum ZBT Window,229.89853
5.0,1.0,143.0,Urban,30.0,Poor,False,Oil,False,True,2020-09-19,Yellow,Andreas,False,Good,Poor,Good,Good,11.0,2.37,,WLR2F Steel 2IS Window,363.36892
2.0,2.0,78.0,Urban,,Poor,False,Gas,False,True,2021-08-28,Green,Roman,False,Excellent,Poor,Poor,Good,11.0,2.64,77.0,Aluminum 6UCE0,127.70879
1.0,1.0,54.0,Suburbann,53.0,None,False,Electricity,True,True,2020-12-13,Yellow,Theresa,False,Excellent,Poor,Good,Poor,3.0,1.61,32.4,C1049 Aluminum EIPV Window,45.89178
2.0,1.0,60.0,Rural,62.0,None,False,Oil,False,True,2020-03-26,,Theresa,False,Good,Poor,Good,Good,3.0,2.16,,Wood WMWCFH,218.19215
1.0,2.0,70.0,Urban,31.0,Poor,,Gas,False,True,2022-04-08,Gray,Andreas,False,Excellent,Good,Good,Excellent,11.0,2.79,,Aluminum P3F5D43 Window,144.47152
1.0,1.0,56.0,Rural,42.0,None,False,Electric,False,False,2022-08-03,Yellow,Roman,False,Good,Excellent,Good,Good,3.0,1.62,,Steel OHR0X,219.74697
1.0,1.0,5465.0,,58.0,None,,Electric,True,True,2021-05-23,,,False,Good,Good,Poor,Excellent,3.0,2.67,25.2,VNZB Steel HKQV,102.90648
,,39.0,Rural,39.0,Excellent,False,Gas,True,True,2023-03-21,Yellow,Florian,False,Poor,Poor,Excellent,Good,47.0,2.06,,Y2P8EM Steel 1BIARX Window,420.66687
,,116.0,Suburban,52.0,None,False,Gas,True,False,2022-06-09,Green,Sandra,False,Excellent,Excellent,Good,Poor,3.0,2.04,115.0,Aluminum 523EM,93.61701
1.0,1.0,65.0,Suburbann,59.0,None,False,Gas,True,True,2021-10-27,Green,Lukas,False,Good,Good,Poor,Excellent,3.0,3.5,,VBR6FR Steel C18XUZ5,124.95644
2.0,,91.0,Urban,31.0,None,False,Oil Heating,False,True,2021-05-07,Gray,Johanna,False,Excellent,Excellent,Poor,Excellent,3.0,2.42,147.2,Aluminum A1N Window,179.29344
1.0,1.0,56.0,Urban,15.0,None,True,Oil,False,True,2022-02-27,Green,Florian,False,Poor,Good,Good,Poor,3.0,1.8,91.2,Steel 2NZ3,210.39489
,,28.0,Urban,45.0,None,,Oil,True,False,2023-03-26,White,Sabrina,False,Good,Poor,Good,Excellent,3.0,2.69,,C3PYZKJ Wood 40Y Window,112.62216
2.0,2.0,106.0,Rural,52.0,Good,,Gas,True,True,2023-06-03,Green,Sabrina,False,Poor,Poor,Excellent,Good,15.0,2.3,,59G Steel 5XAA Window,423.44986
3.0,1.0,111.0,Urban,64.0,,False,Gas,False,False,2021-12-04,White,Daniel,False,Good,Excellent,Good,Excellent,15.0,1.94,110.0,K3G Aluminum O19AWC,166.55349
,1.0,56.0,,45.0,None,,Oil,True,True,2021-05-04,White,Andreas,False,Excellent,Good,Good,Excellent,3.0,1.66,,Wood 95G2HC,107.74464
,1.0,61.0,Suburbann,27.0,Poor,,Gas,True,True,2020-03-16,White,,False,Excellent,Good,Good,Good,11.0,2.5,60.0,6MBSSSA Wood AXM5,110.33739
3.0,1.0,120.0,Rural,45.0,None,False,Gas,True,True,2022-06-18,Gray,,False,Excellent,Excellent,Excellent,Excellent,3.0,2.56,122.0,Wood GXYL,367.53494
1.0,1.0,38.0,Rural,,None,True,Oil Heating,False,True,2020-10-18,Gray,Natalie,False,Excellent,Good,Good,Excellent,3.0,1.1,,EWKOCD Wood U3K41,182.33053
,,145.0,Urban,57.0,None,False,Gas,False,True,2021-05-14,White,Johanna,False,Poor,Excellent,Excellent,Good,3.0,2.35,144.0,OB15MX Wood H9HJ2C9 Window,257.28551
3.0,,138.0,Urban,19.0,None,False,Electric,False,True,2020-08-15,Gray,Daniel,False,Good,Good,Excellent,Poor,3.0,2.55,82.2,Wood 8RBQ2V Window,228.48812
1.0,,68.0,Rural,40.0,None,True,Electric,True,True,2020-03-30,Green,Andreas,False,Good,Good,Excellent,Excellent,3.0,3.28,,Aluminum 1G5YR Window,156.21799
,2.0,73.0,Suburbann,,None,False,Electricity,False,True,2021-08-17,Gray,Laura,False,Poor,Good,Good,Poor,3.0,2.69,,5GW Steel DMPX Window,104.78884
1.0,2.0,133.0,,38.0,None,,Electricity,True,True,2022-07-31,Yellow,Natalie,False,Good,Poor,Good,Poor,3.0,2.0,81.0,Aluminum VLQ Window,220.49637
,2.0,98.0,,27.0,Good,,Oil,False,True,2024-03-01,Gray,Daniel,False,Excellent,Poor,Poor,Good,15.0,2.77,,Aluminum N70QE1 Window,226.27013
,,43.0,Suburban,43.0,Good,False,Electricity,True,False,2021-07-30,Yellow,Denis,False,Good,Good,Good,Excellent,15.0,2.63,,Steel VT4OZ Window,107.91651
1.0,1.0,24.0,Suburban,61.0,Good,False,Gas,False,True,2021-01-06,Gray,Denis,False,Excellent,Excellent,Excellent,Poor,15.0,2.85,25.0,Wood UV9M,85.73596
2.0,3.0,121.0,Rural,28.0,Poor,,Gas,False,False,2023-10-15,Gray,Florian,False,Good,Excellent,Good,Excellent,11.0,3.02,,Aluminum 5RBH73 Window,260.5572
1.0,3.0,113.0,Suburbann,,None,False,Gas,False,True,2023-03-18,Yellow,Maria,False,Excellent,Good,Good,Excellent,3.0,4.97,113.0,Steel 5BSG1,164.85652
5.0,2.0,135.0,Rural,,None,False,Oil Heating,False,True,2020-03-13,Yellow,Denis,False,Good,Excellent,Good,Good,3.0,2.68,212.8,Aluminum BAVX,325.12217
2.0,1.0,64.0,,36.0,None,True,Gas,True,True,2021-04-30,Yellow,,False,Good,Excellent,Poor,Good,3.0,2.86,64.0,36FMR7S Steel 4RCFMRG Window,129.69227
1.0,1.0,24.0,Urban,49.0,None,False,Gas,True,True,2021-12-05,Gray,Sabrina,False,Excellent,Good,Good,Poor,3.0,2.54,25.0,Aluminum 07PG Window,1291.1094
2.0,,71.0,Rural,43.0,Excellent,True,Electricity,False,True,2021-12-30,Yellow,,False,Excellent,Excellent,Good,Excellent,47.0,2.37,,CVR5BU Aluminum UN2,320.98631
3.0,5.0,139.0,Suburban,52.0,None,False,Oil,False,True,2020-11-25,White,Andreas,False,Excellent,Poor,Excellent,Excellent,3.0,2.7,,PW020P Steel E2R Window,216.82886
2.0,,82.0,,55.0,None,True,Electric,False,True,2023-09-04,Gray,,False,Poor,Good,Good,Excellent,3.0,1.66,,LEWR8 Wood 6MBK Window,229.64458
1.0,3.0,103.0,Rural,54.0,Good,True,Gas,False,True,2022-06-25,Gray,Martin,False,Excellent,Excellent,Good,Excellent,15.0,2.03,103.0,MP0VSU Aluminum 0MVJWCR Window,284.42582
